rid|hollis|title|outline|vols
W1PD181160|none|སྔ་འགྱུར་གཡག་ཟེ་དགོན་གྱི་འདོན་ཆ་ལས། བསང་མཆོད་སྐོར།|O1PD181160|1
W1PD181165|014257752|སྔ་འགྱུར་གཡག་ཟེ་དགོན་གྱི་འདོན་ཆ་ལས། མདོས་དང་དབང་སྣ་ཚོགས་ཀྱི་སྐོར།|O1PD181165|1
W29147|014259915|འབྲི་གུང་སྐྱོབ་པ་འཇིག་རྟེན་གསུམ་མགོན་གྱི་རྣམ་ཐར་སྙིང་བསྡུས།|O2DB98606|1
W1PD181149|014257741|སྔ་འགྱུར་གཡག་ཟེ་དགོན་གྱི་གཏེར་མའི་སྒྲུབ་མཆོད་ལས། བྱང་གཏེར་ཐུགས་སྒྲུབ་ཀྱི་སྐོར།|O1PD181149|1
W20839|014258244|བཅིངས་འགྲོལ་སྔོན་གྱི་ནག་ཆུ་རྫོང་ཚོ་ཤོག་ཁག་གི་ལོ་རྒྱུས་མདོར་བསྡུས།|O2DB98669|1
W1KG2815|014256628|སྤྲུལ་པའི་རིག་འཛིན་ཆེན་པོ་ཟིལ་གནོན་དབང་རྒྱལ་རྡོ་རྗེའི་ཕྱི་ནང་གསང་གསུམ་གྱི་རྣམ་ཐར|O2DB98674|1
W20837|014258242|བོང་སྟག་ལོ་རྒྱུས་བགྲེས་པོའི་ངག་སྒྲོས་རང་གྲོལ|O2DB98770|1
W00KG09747|014254559|དེབ་ཐེར་ཀུན་གསལ་མེ་ལོང|O2DB99094|1
W21615|014258360|ཕོ་བྲང་པོ་ཏ་ལའི་ལོ་རྒྱུས་ཕྱོགས་བསྒྲིགས|O2DB99221|1
W2429|014259335|རྒྱ་བོད་ཧོར་སོག་གི་ལོ་རྒྱུས།|O2DB99225|1
W1KG1804|014256552|དཔྱལ་གྱི་གདུང་རབས་ཟ་ར་ཚགས་དང་གང་གཱའི་ཆུ་རྒྱུན་གཉིས་གཅིག་ཏུ་བྲིས་པ་ཀུན་གསལ་མེ་ལོང|O2DB99313|1
W1PD5300|014257824|ཞུཨོ་ནི་ཡང་ཏུ་སི་ཞུཨན་ལུཨེ|O2DB99341|1
W1PD5298|014257822|卓尼文史资料་（第四辑）|O2DB99422|1
W1PD5297|014257821|卓尼文史资料（第三辑）|O2DB99442|1
W00KG09216|014254522|བཀའ་བབ་བདུན་ལྡན་གྱི་བརྒྱུད་པའི་རྣམ་ཐར|O2DB99464|1
W20826|014258233|ཐང་ཡིག་གསར་རྙིང་ལས་བྱུང་བའི་བོད་ཆེན་པོའི་སྲིད་ལུགས|O2DB99559|1
W635|014261001|གསུང་འབུམ། ཙོང་ཁ་པ ༼ཞོལ༽|O2CZ7209|18
W29654|014260065|སྔོན་བྱུང་བོད་ཀྱི་ལོ་རྒྱུས་ཉུང་ངུར་བརྗོད་པ་བློ་གསར་འཇུག་པའི་འབབ་སྟེགས|O2DB99664|1
W2CZ6595|014260161|གཡུལ་ལས་རྣམ་པར་རྒྱལ་བའི་དབྱངས་འཆར་བའི་རྒྱུད|O2GS232|1
W29515|014260017|སྔ་རབས་བོད་ཀྱི་སྲིད་ཁྲིམས|O2GS239|1
W18134|014254810|ཁམས་སྟོད་ལོ་རྒྱུས་ཐོར་བསྡུས།|O2GS3|2
W23670|014259028|མདོ་སྨད་བྱང་ཤར་གྱི་བོད་ཀྱི་ཚོ་བ་ཤོག་པའི་ལོ་རྒྱུས་དང་རིག་གནས་བཅས་པར་དཔྱད་པ|O2CZ10053|1
W1KG4876|014257026|གསུང་འབུམ། ཆོས་གྲགས་ཡེ་ཤེས|O2GS420|6
W5926|014260980|གསུང་འབུམ། ངག་དབང་དཔལ་ལྡན|O2GS83|7
W1KG10282|014255611|གཤིན་རྗེའི་གཤེད་ཆར་ཀ་ནག་པོའི་སྒྲུབ་སྐོར།|O1KG10282|2
W1KG655|014257365|གསར་བསྒྱུར་རཱ་མ་ཡཱ་ཎའི་རྟོགས་བརྗོད།|O2JT2891|1
W1KG9588|014257595|བཀའ་བརྒྱད་བདེ་གཤེགས་འདུས་པའི་ཆོས་སྐོར།|O1KG9588|4
W21621|014258364|རྒྱལ་པོ་སྤྲིན་གྱི་བཞོན་པའི་རྟོགས་བརྗོད|O2JT3216|1
W20464|014258171|ནོར་བཟང་གི་རྣམ་ཐར|O2JT3228|1
W22259|014258707|གཡུ་ཐོག་སྙིང་ཐིག་གི་ཆོས་སྐོར།|O22259|1
W21863|014258477|ཤེས་རབ་རྒན་པོའི་འབེལ་གཏམ|O2JT3468|1
W22275|014258712|ངེས་དོན་མདོ་སྐོར|O22275|6
W29985|014260126|བོད་ལྗོངས་མཛའ་གཞས|O2JT3863|1
W25268|014259448|གངས་ཅན་མཁས་དབང་རིམ་བྱོན་གྱི་རྣམ་ཐར་མདོར་བསྡུས།|O2JT3895|2
W2DB25420|014260462|ཁལ་ཁ་རྗེ་བཙུན་དམ་པ་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་རྣམ་ཐར་ཕྱོགས་བསྒྲིགས་ཁ་སྐོང་དང་བཅས་པ།|O2DB25420|2
W20152|014258072|བུ་བརྩོན་འགྲུས་ཀྱིས་རྒན་ཤེས་རབ་ལ་དྲི་བའི་དྲིས་ལན་བརྒྱ་རྩ་བརྒྱད་པའི་བདག་ཉིད་ཅན|O2DB100500|1
W25186|014259423|གསང་ཆེན་སྔ་འགྱུར་བའི་བཀའ་གཏེར་ཞལ་འདོན་ཕྱོགས་བསྒྲིགས|O2JT6061|1
W1KG1685|014256427|སེམས་པའི་རྩོམ་གྱི་ལམ་བུ། མྱོང་དཔྱད་ཕྲ་མོའི་བསང་གཏོར།|O2JT6162|1
W30465|014260807|གཞུང་པོད་ལྔའི་དོགས་གནད་ཀྱི་དྲིས་ལན་ཕྱོགས་བསྡུས|O2JT6165|1
W1PD181158|014257750|སྔ་འགྱུར་གཡག་ཟེ་དགོན་གྱི་འདོན་ཆ་ལས། དབྱར་གནས་ཀྱི་སྐོར།|O1PD181158|1
W24686|014259347|སྒྲུབ་བརྒྱུད་ཀརྨ་ཀཾ་ཚང་གི་བརྒྱུད་པ་རིན་པོ་ཆེའི་རྣམ་པར་ཐར་པ་རབ་འབྱམས་ནོར་བུ་ཟླ་བ་ཆུ་ཤེལ་གྱི་ཕྲེང་བ|O2JT7072|1
W2CZ7868|014260218|ཟླ་བ་རྒྱལ་མཚན་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་རྣམ་ཐར|O2DB98135|1
W2CZ7855|014260213|གསུང་འབུམ། ངག་དབང་ཚེ་རིང|O2JT7881|2
W1KG1338|014256028|གསུང་འབུམ། ངག་དབང་བློ་བཟང་བསྟན་པའི་རྒྱལ་མཚན|O2JT7924|6
W22181|014258683|སྟོན་པའི་རྣམ་ཐར་ཆེན་མོ|O2DB98544|1
W23652|014259017|ནཱ་རོ་ཆོས་དྲུག་འབྲུག་པ་དཀར་བརྒྱུད་པའི་ལུགས།|O2JT8352|1
W18133|014254809|ཀརྨ་པ་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་མཛད་རྣམ|O2DB98584|1
W1PD181150|014257742|སྔ་འགྱུར་གཡག་ཟེ་དགོན་གྱི་གཏེར་མའི་སྒྲུབ་མཆོད་ལས། དཔལ་ཆེན་འདུས་པའི་སྐོར།|O1PD181150|1
W23218|014258855|གསུང་འབུམ། ཀུན་དགའ་ལྷུན་གྲུབ།|O2JT8671|2
W1PD181166|014257753|སྔ་འགྱུར་གཡག་ཟེ་དགོན་གྱི་འདོན་ཆ་ལས། ཀར་གླིང་ཞི་ཁྲོའི་སྐོར།|O1PD181166|1
W2CZ9080|014260360|བློ་སྦྱོང་ཐུན་བརྒྱད་མ་རིན་ཆེན་ས་ལེ་སྦྲམ་གྱི་ཐུམ་བུ|O2JT8674|1
W1KG513|014257064|ཨ་ཆུང་གནམ་རྫོང་གི་ལོ་རྒྱུས|O2DB98643|1
W2CZ7988|014260301|གསུང་འབུམ། བཀྲ་ཤིས་རྒྱལ་མཚན།|O2KG3|15
W28810|014259781|ཆོས་སྡེ་ཆེན་པོ་དཔལ་ལྡན་འབྲས་སྤུངས་བཀྲ་ཤིས་སྒོ་མང་གྲྭ་ཚང་གི་ཆོས་འབྱུང་དུང་གཡས་སུ་འཁྱིལ་བའི་སྒྲ་དབྱངས|O2LS8|2
W2DB4614|014260532|རྒྱུད་བླའི་ཊཱི་ཀ|O2MS1067|1
W2DB4615|014260533|ཕར་ཕྱིན་མདོ་ལུགས་མ|O2MS1102|1
W2DB4616|014260534|ཕར་ཕྱིན་ཉ་ཊཱི་ཀ|O2MS1265|2
W00KG07610|014254496|ཛམ་ལྷའི་མེ་ལོང|O2MS143|1
W2DB4600|014260518|རྗེ་ཙོང་ཁ་པའི་རྣམ་ཐར་ཆེན་མོ|O1PD126714|1
W1PD95844|014257975|བསྟན་འགྱུར། ༼དཔེ་བསྡུར་མ༽|O2MS16391|120
W18047|014254799|མདོ་མཁྱེན་བརྩེ་ཡེ་ཤེས་རྡོ་རྗེའི་རྣམ་ཐར།|O1PD126745|1
W2DB4620|014260538|དབུ་མ་ཐེག་མཆོག|O2MS1948|1
W2DB4618|014260536|བླང་དོར་རབ་གསལ|O2MS1976|1
W00EGS1017393|014254011|སྨར་པ་བཀའ་བརྒྱུད་ཀྱི་རྣམ་ཐར་ཕྱོགས་བསྒྲིགས|O2DB96942|1
W1PD127771|014257715|བར་དོ་ཐོས་གྲོལ་ཆེན་མོ།|O1VI3|1
W1KG2733|014256613|ཆོས་རྣམ་ཀུན་བཏུས།|O1KG2733|3
W1KG9276|014257545|དམ་ཅན་བསྟན་སྲུང་རྒྱ་མཚོའི་རྣམ་ཐར།|O1GC4211|1
W00EGS1016947|014253914|གསུང་འབུམ། པདྨ་ལུང་རྟོགས་རྒྱ་མཚོ|O00EGS1016947|1
W00EGS1016248|014253816|གནས་ཆུང་རྡོ་རྗེ་སྒྲ་དབྱངས་གླིང་གི་འདོན་ཆོག|O00EGS1016248|3
W00KG07600|014254494|ཀིརྟིའི་མ་དགོན་ཆེན་མོའི་ཆགས་རིམ་།|O2MS557|2
W2DB4612|014260530|རི་ཆོས་ངེས་དོན་རྒྱ་མཚོ|O2MS815|1
W23649|014259014|ལམ་འབྲས་སློབ་བཤད།（སྡེ་དགེ་པར་མ་བསྐྱར་པར།）|O2MS8655|21
W23648|014259013|ལམ་འབྲས་ཚོགས་བཤད|O2MS8939|6
W24767|014259353|ལམ་འབྲས་གཞུང་རྡོ་རྗེའི་ཚིག་རྐང་གི་རྣམ་འགྲེལ་བཅུ་གཅིག|O2MS9223|3
W1KG10112|014255582|གསེར་སྐྱེམས་དང་ཆོས་སྐྱོང་སྲུང་མའི་མངོན་རྟོགས་སོགས་ཉེར་མཁོ་འདོན་ཆ་སྣ་ཚོགས།༼སྐུ་འབུམ་པར་མ།༽|O1KG10112|1
W1KG10597|014255648|གསང་བདེ་འཇིགས་གསུམ་གྱི་ཐིག་གི་ལག་ལེན་དང་དཀྱིལ་འཁོར་བློས་བསླང་གི་ཚད་དབྱིབས་གསལ་བར་བཤད་པ་བཟོ་རིག་མཁས་པའི་མཛེས་རྒྱན།|O1KG10597|3
W1KG2118|014256597|གཏེར་ཆེན་རྡོ་རྗེ་གླིང་པའི་ཟབ་ཆོས་ཕྱོགས་བསྡེབས།|O1KG2118|14
W1KG4211|014256831|ལོཙྪ་བ་ཆེན་པོ་རིན་ཆེན་བཟང་པོའི་རྣམ་ཐར་སོགས་ཆོས་ཚན་ཁག་ཅིག|O1KG4211|1
W1PD5282|014257818|ས་སྐྱའི་ཞལ་འདོན་ཕྱོགས་བསྒྲིགས|O1PD5282|1
W30072|014260599|བོད་ཀྱི་རིག་གནས་སྤྱི་རྣམ་རིན་ཆེན་ཀུན་འདུས།|O2CN1896|1
W2CZ6025|014260149|ཡང་ཟབ་དཀོན་མཆོག་སྤྱི་འདུས་ཀྱི་འདོན་ཆ་ཉེར་མཁོ་ཕྱོགས་གཅིག་ཏུ་བཀོད་པ|O2CZ6025|1
W30101|014260616|གསུང་འབུམ། འཇིག་རྟེན་མགོན་པོ|O30101|5
W30287|014260713|བསྟན་བསྲུང་ཨ་ཕྱིའི་སྒྲུབ་ཐབས་བེའུ་བུམ|O30287|2
W29205|014259935|འབྲས་ལྗོངས་རྒྱལ་རབས|O3JT1328|1
W23900|014259211|བཀའ་གདམས་ཆོས་འབྱུང་སྐོར། ༼འབའ་ཉག་དཔེ་མཛོད་ཁང༽|O1PD125934|1
W00EGS1017117|014253963|གྲུབ་དབང་སྐྱང་རྩེ་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་རྣམ་ཐར|O2DB96894|1
W20077|014258026|ཐོན་མི་སམྦྷོ་ཊའི་མཛད་རྗེས་ལས་བརྩམས་པའི་རྟོགས་བརྗོད་ཀུན་ཏུ་བཟང་པོའི་ཟློས་གར།|O3JT1574|1
W30112|014260625|ཤངས་པ་གསེར་འཕྲེང|O30112|1
W1KG5727|014257184|བོད་ཀྱི་ལོ་རྒྱུས་དོན་ཆེན་རེའུ་མིག|O3JT1636|1
W00EGS1016244|014253814|རྒྱུད་སྟོད་གྲྭ་ཚང་གི་ཆོས་སྤྱོད|O00EGS1016244|5
W20557|014258204|ལེགས་སྦྱར་བརྡ་སྤྲོད་རིག་པར་འཇུག་པའི་སྒོ།|O3JT1746|1
W00KG08448|014254516|མཛོད་དགེ་གླིང་དཀར་སྟོད་ཀྱི་བཞག་སྡོམ་པའི་ལོ་རྒྱུས།|O3JT1919|1
W18|014254798|སྒྲུབ་ཐབས་འདོད་འཇོའི་འབུམ་བཟང་།|O1KG5489|2
W00KG09670|014254535|འབྲི་གུང་གྲུབ་དབང་ཨ་མགོན་རིན་པོ་ཆེའི་རྣམ་ཐར།|O2DB96961|1
W1CZ2273|014255318|བལ་ཡུལ་གནས་ཡིག|O3JT2088|1
W20224|014258095|ཨ་རི་དང་དེའི་མི་དམངས།|O3JT2174|1
W20031|014258012|ཨ་ཆོས་རིན་པོ་ཆེའི་རྣམ་ཐར་མདོར་བསྡུས|O3JT2175|1
W23727|014259070|གསུང་འབུམ། ཤེས་རབ་རྒྱལ་མཚན|O2MS1850|1
W1PD86474|014257873|ཆོས་སྤྱོད་ཕྱོགས་བསྒྲིགས་ལམ་བཟང་གསལ་བའི་སྒྲོན་མེ།|O1GC999|1
W1KG4232|014256849|བཀའ་བརྒྱུད་ཆོས་འབྱུང་ནོར་བུའི་ཕྲེང་བ།|O3JT2269|1
W23633|014259002|ཟིན་བྲིས་བཅུ་གསུམ|O3JT2324|1
W30516|014260830|བསེ་ཟིན་བྲིས་བཅུ་གསུམ་དུ་གྲགས་པ།|O3JT2340|1
W1PD181157|014257749|སྔ་འགྱུར་གཡག་ཟེ་དགོན་གྱི་བཀའ་མའི་སྒྲུབ་མཆོད་ལས། ཡང་དག་གི་སྐོར།|O1PD181157|1
W21809|014258448|གསུང་འབུམ། རབ་གསལ་ཟླ་བ|O2DB57601|25
W25185|014259422|བཀའ་བརྒྱུད་ཞལ་འདོན་ཕྱོགས་བསྒྲིགས།|O3JT2710|1
W00EGS1016703|014253856|གསུང་འབུམ། ཚུལ་ཁྲིམས་རིན་ཆེན།|O00EGS1016703|11
W00KG03940|014254445|གསུང་འབུམ། བྱམས་པ་འབྱུང་གནས།|O00KG03940|6
W127|014254675|གསུང་ཐོར་བུ། ཤེས་རབ་རྒྱ་མཚོ|O127|1
W1KG4282|014256887|གསུང་འབུམ། ནུས་ལྡན་རྡོ་རྗེ།|O1KG4282|19
W1KG4334|014256920|དཔལ་སྤུངས་དཔེ་རྙིང་གསར་བསྐྲུན་ལས་དཀྱིལ་ཆོག་ཕྱོགས་བསྒྲིགས། ༼དང་པོ།༽|O1KG4334|14
W1KG4335|014256921|དཔལ་སྤུངས་དཔེ་རྙིང་གསར་བསྐྲུན་ལས་གཞུང་ལུགས་ཕྱོགས་བསྒྲིགས། ༼དང་པོ།༽|O1KG4335|12
W1KG4336|014256922|དཔལ་སྤུངས་དཔེ་རྙིང་གསར་བསྐྲུན་ལས་ཁྲིད་ཡིག་ཕྱོགས་བསྒྲིགས།|O1KG4336|4
W20578|014258217|རིན་ཆེན་གཏེར་མཛོད་ཆེན་མོ|O20578|111
W21023|014258286|གཏེར་ཆོས། བརྟུལ་ཞུགས་གླིང་པ།|O21023|1
W23446|014258920|འཛི་སྒར་ཀོང་སྤྲུལ་གསུང་ཕྱོགས་བསྡེབས།|O23446|12
W23864|014259187|གསུང་འབུམ། བསྟན་འཛིན་འཕྲིན་ལས་འཇིགས་མེད་ཆོས་ཀྱི་དབང་ཕྱུག|O23864|3
W29192|014259924|གསུང་འབུམ། ཚེ་རིང་རྡོ་རྗེ|O29192|3
W1KG4884|014257027|གསུང་འབུམ། དྲི་མེད་འོད་ཟེར། （དཔལ་བརྩེགས། མེས་པོའི་ཤུལ་བཞག）|O3JT5542|26
W1PD108254|014257712|གསུང་འབུམ། ཀུན་བཟང་བདེ་སྐྱོང་དབང་མོ།|O3JT6357|6
W14023|014254700|བཀྲ་ཤིས་རྒྱལ་མཚན་གྱི་རྣམ་ཐར།|O3JT325|1
W23627|014258997|གསུང་འབུམ། འཇིགས་མེད་བསྟན་པའི་ཉི་མ།༼བདུད་འཇོམས་རིན་པོ་ཆེའི་དཔེ་མཛོད་ཁང་དུ་བཞུགས་པའི་ཤིང་པར་དང་ལག་བྲིས་འདྲེས་མ།༽|O3JT7592|5
W23907|014259217|གསུང་འབུམ། འཇིགས་མེད་བསྟན་པའི་ཉི་མ། ༼འབྲས་ལྗོངས་སྒང་ཏོག༽|O3JT8721|5
W2MS2257|014260558|གསུང་ཐོར་བུ། ཀུན་དགའ་གྲོལ་མཆོག|O2MS2258|2
W23435|014258911|སྒྲུབ་བརྒྱུད་ཀརྨ་ཀཾ་ཚང་བརྒྱུད་པ་རིན་པོ་ཆེའི་རྣམ་པར་ཐར་པ་རབ་བྱམས་ནོར་བུ་ཟླ་བ་ཆུ་ཤེལ་གྱི་ཕྲེང་བ|O2JT6442|2
W22704|014258779|བསྟན་འགྱུར ༼སྣར་ཐང༽|O2DB75712|225
W1KG10061|014255569|རིག་འཛིན་རྡོ་རྗེ་དྲག་པོའི་གསུང་འབུམ།|O1KG10061|1
W16097|none|བསྡུས་གྲྭ|O3JW22287
W00KG09688|014254541|ཇོ་བོ་རྗེ་དཔལ་ལྡན་ཨ་ཏི་ཤའི་རྣམ་ཐར་བཀའ་གདམས་ཕ་ཆོས|O2DB96991|1
W00EGS1016236|014253810|གསུང་འབུམ་། མི་འགྱུར་རྒྱལ་མཚན|O2DB90180|1
W29101|014259906|གཏན་ཚིགས་རིག་པའི་རྣམ་བཞག་གསལ་བར་བཤད་པ་རབ་གསལ་ནོར་བུའི་སྒྲོན་མེ|O29101|2
W27887|014259726|ལྕེ་བཙུན་སྙིང་ཐིག་གི་ཆོས་སྐོར། ༼ཞི་ཆེན་གློག་ཀླད་པར་མ།༽|O2JT8320|1
W1KG3983|014256790|གསུང་འབུམ། ཤཱཀྱ་ཤྲཱིའི|O1KG3983|1
W2DB25419|014260461|ཁལ་ཁ་རྗེ་བཙུན་དམ་པ་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་གསུང་འབུམ།|O2DB25419|4
W1CZ2408|014255344|སྙིང་ཐིག་ཞག་བརྒྱའི་སྒོམ་རིམ|O3LS10543|1
W00KG09673|014254537|ཕྱག་ཆེན་ལྷན་ཅིག་སྐྱེས་སྦྱོར་གྱི་ངོ་སྤྲོད|O3LS10660|1
W22712|014258782|མནམ་མེད་དྭགས་པོའི་ཆོས་བཟིར་གྲགས་པའི་གཟུན་གི་འགྲེལ་པ་སྣིང་པོ་གསལ་བའི་རྒྱན་༔་ཨ་དེཏཻལེད་སྟུདཡ་ཨོན་སྒམ་པོ་པའས་ཆོས་བཟི་པྲེསེནཏཏིཨོན་ཨོཕ༹་ཕུ༹ནདམེནཏལ་བུདདྷིསཏ་པྲཅཏིཅེ|O2JT8364|1
W29513|014260015|གསུང་འབུམ། བསྟན་པའི་དབང་ཕྱུག ༼ཁང་སར༽|O3JT3512|5
W25991|014259482|དབུ་མ་ལ་འཇུག་པའི་རྒྱ་ཆེར་བཤད་པ་གསུང་རབ་རྒྱ་མཚོའི་དེ་ཁོ་ན་ཉིད་རབ་ཏུ་གསལ་བ|O3LS10737|1
W8773|014261107|གསུང་འབུམ། ཤེས་རབ་རྒྱལ་མཚན|O2JT8382|1
W1KG4251|014256866|བཀའ་བསྡུ་བཞི་པའི་འགྲེལ་པ་ལུང་རིགས་གཏེར་མཛོད་ངེས་གསང་ཀུན་གསལ་ཐུབ་བསྟན་མཛེས་རྒྱན|O3LS11022|1
W00KG0622|014254489|བོད་ཀྱི་སྲོལ་རྒྱུན་རིག་གནས་དང་དེང་དུས་ཀྱི་ཁོར་ཡུག་སྲུང་སྐྱོབ|O3LS11273|1
W28813|014259783|བོད་ཀྱི་དབུ་མའི་ལྟ་བའི་འཆད་ཉན་དར་ཚུལ་བློ་གསལ་མིག་འབྱེད|O3LS11497|1
W23828|014259162|གསུང་འབུམ། བསོད་ནམས་གྲགས་པ།|O3JT3945|12
W2CZ5991|014260146|སྟག་ཚང་རས་པའི་རྣམ་ཐར་དང་རྡོ་རྗེའི་མགུར|O2JT8673|1
W8039|014261062|གསུང་འབུམ། མི་བསྐྱོད་རྡོ་རྗེ|O3LS12537|26
W9848|014261145|གསུང་འབུམ། བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན|O3LS13785|5
W23183|014258822|གཏེར་ཆོས། དཔའ་བོ་ཆོས་དབྱིངས་རྡོ་རྗེ|O2DB81694|4
W21957|014258519|གསུང་འབུམ། ཐུབ་བསྟན་བཤད་སྒྲུབ་རྒྱ་མཚོ།|O3LS3736|4
W2CZ8013|014260308|འཛམ་གླིང་བོད་ཀྱི་གནས་སྟངས|O2JT8691|1
W30279|014260705|གསུང་འབུམ། ཀུན་དགའ་རྒྱལ་མཚན|O3LS5990|3
W1PD1725|014257729|གསུང་འབུམ། བསོད་ནམས་སེང་གེ།|O3LS6994|15
W00KG07606|014254495|གསུང་འབུམ། ཆོས་དབྱིངས་རང་གྲོལ|O2DB82362|3
W17635|014254790|ཚད་མའི་དགོངས་དོན་ལེགས་བཤད|O3LS10762|1
W00EGS1017082|014253960|གསུང་འབུམ། ཀརྨ་ཆགས་མེད། ༼བྲིས་མ་ཕྱོགས་བསྡེབས།༽|O3JT4940|9
