set|hollis-id|title|locator|pub|author|isbn|tbrc-rid
tibetan.dlc.xml|001129119-2|Collected works of Jaya-paṇḍita Blo-bzaṅ-ḥphrin-las.|82900131 /SA|New Delhi :International Academy of Indian Culture,1981-|Blo-bzaṅ-ʼphrin-las,Jaya-Paṇḍita,1642-||
tibetan.dlc.xml|001163048-5|Works of Agwangdamba (Ṅag-dbaṅ-bstan-pa) /Choi Lubsanjab.|81901714 /SA/r83|New Delhi :Sharada Rani,1980.|Ṅag-dbaṅ-bstan-pa,1814-1885.||
tibetan.dlc.xml|001345523-0|Bkaʾ brgyad Bde gśegs ʾdus pa rites of Mṅa-bdag Ñaṅ-ral Ñi-ma-ʾod-zer arranged and presented according to the tradition of Smin-grol-gliṅ /by Gter-bdag-gliṅ-pa ʾGyur-med-rdo-rje and others of the tradition.|78900509 /SA|Dehra Dun :D. G. Khochhen Tulku,1977.|||
tibetan.dlc.xml|001345571-0|Skyes paʾi rabs kyi rgyud =the Tibetan Jātakamālā of Āryaśūra.|75903783 /SA|Thimphu :Kunsang Tobgay,1975.|Āryaśūra.||
tibetan.dlc.xml|001345674-1|Phur pa Bdud ʼjoms gnam lcags spu griʼi chos skor :visionary teachings focussing upon the propitiation of Vajrakīla /recovered from their place of concealment by Bdud-ʼjoms-gliṅ-pa and supplemented by Bdud-ʼjoms Rin-po-che ʼJigs-bral-ye-śes-rdo-rje.|75903135 //r94|Banaras :Sgom-chen Db[a]ng-phyug,1974.|Bdud-ʼjoms-gliṅ-pa,Gter-ston,1835-||
tibetan.dlc.xml|001345700-4|Bkaʾbrgyud gser ʾphreṅ :a golden rosary of lives of eminent Bkaʾ-brgyud-pa masters.|75903778 /SA|Delhi :Topden Tshering ;Dolanji, H.P. :distributor, Tibetan Bonpo Monastic Centre,1975.|||
tibetan.dlc.xml|001345773-X|Bkaʼ ma;the redaction of Rdzogs-chen Rgyal-sras Gzhan-phan mthaʼ-yas, considerably enlarged and expanded.Reproduced from Dudjom Rimpocheʼs original Tibetan manuscript collection by Sonam T. Kazi.|71908710 /SA/r963|Gangtok,1969-71.|Bkaʼ ma.||
tibetan.dlc.xml|001345783-7|Dpal Kyeʼi rdo rje źes bya baʼi rgyud kyi rgyal poʼi ʼgrel pa legs bśad ñi maʼi ʼod zer :a detailed commentary on the Hevajra tantra /by Dwags-po Paṇ-chen Bkra-śis-rnamrgyal.|77902358 /SA/r86|[Delhi] :Delhi Karmapae Chodhey,1977.|Bkra-śis-rnam-rgyal,Dwags-po Paṇ-chen,1512 or 1513-1587.||
tibetan.dlc.xml|001345788-8|Beʼu bum of Ba-ri Lo-tsa-ba Rin-chen-grags :a collection of magico-medical spells, incantations and esoteric formulae transmitted in Tibet through the Lo-tsā-ba of Ba-ri, Rin-chen-grags.|74900931|Delhi :Lama Jurme Drakpa,1974.|Ba-ri Lo-tsā-ba Rin-chen-grags,active 11th century.||
tibetan.dlc.xml|001345790-X|Bden tshig ʾgrub paʾi pra ṇi dha rnam mkhyen groṅ ʾjug :a Mahayana Buddhist prayer.|78904710|Kelang :s.n.,1968.|||
tibetan.dlc.xml|001345791-8|Rdo rjeʾi chos skyoṅ baʾi sruṅ ma rnams kyi las byaṅ ʾphrin las Rnam par rol paʾi dgaʾ ston :a collection of propitiatory rites for the protective deities of the Bdud-ʾjoms tradition /restructured and largely written by the Ven. Bdud-ʾjoms ʾJigs-bral-ye-śes-rdo-rje.|75903144|[Thimphu] :Kun-bzaṅ Bsod-nams stobs-rgyas,[1975]|Bdud-ʾjoms ʾJigs-bral-ye-śes-rdo-rje,1904-1987.||
tibetan.dlc.xml|001345794-2|Biographies of the successive embodiments of the Rgyal-dbaṅ ʾBrug-chen.|74901476 /SA|Darjeeling :Kargyud Sungrab Myamso Khang,1974-|||
tibetan.dlc.xml|001345802-7|Stoṅ phrag brgya pa don ma nor bar bsdus pa =or ʾBum bsdus ; the essential meaning of the Śatasahasrikāprajñāpāramitā /an instruction of Atisa rendered into verse by the Nepalese A-su.|73904094|Kelang :s.n.,1968.|Atīśa,982-1054.||
tibetan.dlc.xml|001345806-X|Dbyiṅs rig rin po cheʾi mdzod;a synthetic treatise on the Bonpo traditions of Dzogchen meditational practice,by Śar-rdza Bkra-śis-rgyal-mtshan. Reproduced from a Delhi lithographic ed. of about 1955 prepared through efforts of Khyuṅ-sprul ʾJigs-med-nam-mkhaʾi-rdo-rje by Topden Tshering.|72903166 /SA|[Delhi];distributor: Tibetan Bonpo Monastic Centre, Dolanji, H.P.,1972.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345846-9|Legs bśad rin po cheʾi mdzod :a Tibetan analytical history and study of the doctrines of the Bon tradition /by Śar-rdza Bkra-śis-rgyal-mtshan.|77905504 /SA/r90|Dolanji, H.P. :Khedup Gyatso :distributor, Tibetan Bonpo Monastic Centre,1977.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345851-5|Luṅ rigs rin po cheʾi mdzod;a synthetic treatise on the Bonpo traditions of philosophical analysis,by Śar-rdza Bkra-śis-rgyal-mtshan. Reproduced from a Delhi lithographic ed. of 1955 prepared through the efforts of Khyuṅ-sprul ʾJigs-med-nam-mkhaʾi-rdo-rje by Topden Tshering.|72902576 /SA|[Delhi]distributor: Tibetan Bonpo Monastic Centre, Dolanji, H.P.,1972.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345852-3|Sde snod rin po cheʾi mdzod;a synthetic treatise on the varieties of Bonpo practice &amp; the results to be obtained from each,by Śar-rdza Bkra-śis-rgyal-mtshan. Reproduced from a Delhi lithographic ed., prepared about 1950 through the efforts of Khyuṅ-sprul ʾJigs-med-nam-mkhaʾi-rdo-rje, by Patshang Lama Sonam Gyaltsen.|72908431 /SA|[Delhi]distributor: Tibetan Bonpo Monastic Centre, New Thob-rgyal, H.P.,1972-73.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345853-1|An introduction to the A-khrid practises of Bonpo realisation;being the text of Man ngag rin po che a khrid thun mtshams bco lnga paʾi sngon ʾgroʾi khrid rim bkaʾ lung rgya mtsho,by Shar-rdza Bkra shis-rgyal-mtshan. Reproduced photographically from a print of the rare Delhi lithography by Tenzin Namdak.|72928503 /SA|[Delhi]distributor: Tibetan Bonpo Monastic Centre, Dolanji, H.P.,1972.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345854-X|Gsaṅ sṅags khrid daṅ smon lam rnam gsum sogs kyi ʾgrel pa;a collection of exegetical works on esoteric Bonpo practice &amp; liturgy, by Śar-rdza Bkra-śis-rgyal-mtshan.Reproduced from a copy of the Delhi lithographic print made by Khyuṅ-sprul ʾJigs-med-nam-mkhaʾi-rdo-rje during the 1950s by Khedup Gyatso.|73900552 /SA|[Delhi]distributor: Tibetan Bonpo Monastic Centre, New Thobgyal, H.P.,1973.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345856-6|Rdzogs pa chen po sku gsum raṅ śar gyi dbaṅ bźi daṅ byaṅ sdom cho ga sogs;collected texts on the four initiations (abhiṣeka) of the Rdzogs chen Sku gsum raṅ śar precepts of Bonpo practice,by Śar-rdza Bkra-śis-rgyal-mtshan. Together with instructions on the gso sbyoṅ, lus sbyin, and byaṅ sdom by Śar-rdza and others. Reproduced from original MSS. and blockprints by Patshang Lama Sonam Gyaltsen.|73907895 /SA/r82|[Delhi]distributor: Tibetan Bonpo Monastic Centre, Dolanji, H.P.,1973.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345857-4|Rdzogs pa chen po sku gsum rań śar gyi khrid gdams skor;texts outlining the initial practices for the followers of the precepts of the Bon-po Rdzogs-chen A-khrid,by Śar-rdza Bkra-śis-rgyal-mtshan. Reproduced from ms[s] belonging to Phyug-gtso Mkhan-po by Khedup Gyatso.|74900819 /SA|[Delhi];distributor: Tibetan Bonpo Monastic Centre, Dolanji, H.P.,1974.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345858-2|Bla med go ʾphaṅ sgrub thabs kyi mdo :a sutra from the Bonpo canon.|74901314 /SA|Delhi :Sonam Gyaltsen ;distributor, Tibetan Bonpo Monastic Centre, Dolanji, H.P.,1974.|||
tibetan.dlc.xml|001345859-0|Yum chen kye ma ʼod mtshoʼi zab gsaṅ Gcod kyi gdams pa las phran daṅ bcas paʼi gsuṅ pod :a collection of "New" Bon (Bon gsar) Gcod precepts from the revelations of Mkhaʼ-ʼgro Bde-chen-dbaṅ-mo.|74901527 /SA|Delhi :Tshering Wangyal ;Dolanji, H.P. :distributor, Tibetan Bompo Monastic Centre,1974.|Bde-chen-dbaṅ-mo,Mkhaʼ-ʼgro,1868-||
tibetan.dlc.xml|001345860-4|Bkaʾ ʾgyur gyi naṅ tshan mdo sde sna tshogs :a collection of smaller Bonpo sutras discovered by the A-tsa-ra Mi-gsum.|74902902 /SA|Delhi :S. Gyaltsen ;Dolanji, H.P. :distributor, Tibetan Bonpo Monastic Centre,1975.|||
tibetan.dlc.xml|001345872-8|Sdom gsum skor;four Bonpo works on the concepts of the three vows and the interrelationships of Hinayana, Mahayana &amp; Vajrayana approaches to realisation,by Śar-rdza Bkra-śis-rgyal-mtshan. Reproduced from a Delhi lithographic ed. prepared during the 1950s through the efforts of Khyuṅśprul Rin-po-che by Topden Tshering.|72907129 /SA|[Delhi];distributor: Tibetan Bonpo Monastic Centre, Dolanji, H.P.,1972.|Brka-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345875-2|Sñiṅ thig tshe yaṅ phur gsum gyi glegs bam :teachings of the Rñiṅ-ma-pa tradition rediscovered from their place of concealment in the Śel-gyi-yaṅ-sgrom of Spu-ri /by Rig-ʾdzin Bdud-ʾdul-rdo-rje of Kaḥ-thog ; with the Dbaṅ chog of ʾJam-mgon Koṅ-sprul Blo-gros-mthaʾ-yas.|73906926|New Delhi :Snaje Droje,1973.|Bdud-ʾdul-rdo-rje,Spo-bo Gter-ston,1615-1672.||W30283
tibetan.dlc.xml|001345877-9|Collected songs of esoteric realization (ñams mgur) and instructions on Bonpo practice,by Śar-rdza Bkra-śis-rgyal-mtshan. Reproduced from MS. preserved in Dolanji by Patshang Lama Sonam Gyalsen.|74900061 /SA|[Delhi];distributor: Tibetan Bonpo Monastic Center, Dolanji, H.P.,1973.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001345929-5|Nam mkhaʾ mdzod;a collection of ritual texts, khrid-yig, and treatises on aspects of the four consecrations,by Śar-rdza Bkra-śis-rgyal-mtshan. Reproduced from examples of the Delhi lithographic ed. of the early 1950s and xylographic prints from Khams by Ngawang Sonam, Patshang Lama Sonam Gyaltsen, and Khedup Gyatso.|73900551 /SA|[Delhi];distributor: Tibetan Bonpo Monastic Centre, New Thobgyal, H.P.,1973-1974.|Bkra-śis-rgyal-mtshan,Śar-rdza,1859-1933.||
tibetan.dlc.xml|001347054-X|Bdud ʾdul phur pa gnam lcags spu gri :teachings from the gter ma of Rig-ʾdzin Bdud-ʾdul-rdo-rje of Kah-thog /reproduced by B. Jamyang Norbu.|73924558 /SA|New Delhi,1971.|Bdud-ʾdul-rdo-rje,Spo-bo Gter-ston,1615-1672.||
tibetan.dlc.xml|001350239-5|A lce Rig ston rgyal moʾi rnam thar and Las can bu mo Me tog gsal sgron maʾi rnam thar :two texts of the rnam thar genre from the Padma-bkod area of Tibet.|78900331 /SA|Delhi :Trayang and Jamyang Samten,1977.|||
tibetan.dlc.xml|001350282-4|Byaṅ chub lam rim gyi sgo nas raṅ sems dge sbyor la ʾjug paʾi man ṅag rin chen sñiṅ po :practical instructions and parables illustrating the various approaches to Buddhist life through the practice of the Lam rim precepts /by Skyu-ra Yoṅs-ʾdzin Byams-pa-kun-khyab ; with a pref. by Ts. Damdinsüren.|77905329 /SA|New Delhi :Mongolian Lama Gurudeva,1977.|Byams-pa-kun-khyab,Skyu-ra Yoṅs-ʾdzin.||
tibetan.dlc.xml|001350315-4|The collected works (gsuṅ ʼbum) of Gu-ge Yoṅs-ʼdzin Blo-bzaṅ-bstan-ʼdzin alias Gdoṅ-drug-grub-paʼi-rdo-rje.|76901743 /SA/r85|New Delhi :Chophel Legdan,1976.|Blo-bzaṅ-bstan-ʼdzin,Gu-ge Yoṅs-ʼdzin,1748-||
tibetan.dlc.xml|001350328-6|Bde mchog mkhaʼ ʼgro sñan rgyud (Ras chuṅ sñan rgyud); a manuscript collection of orally transmitted precepts focussing upon the tutelaries Cakrasamvara and Vajravārāhī, representing the yig-cha compiled by Byaṅ-chub-bzaṅ-po. Reproduced from a rare MS. in the library of Apho Rimpoche.|73902914 /SA/r81|New Delhi,1973.|Byaṅ-chub-bzaṅ-po,active 16th century.||
tibetan.dlc.xml|001350398-7|The collected writings (Gsung-ʾbum) of ʾBri-gung Chos-rje ʾJig-rten-mgon-po Rin-chen-dpal.Reproduced photographically from the ʾBri-gung Yang-re-sgar xylographic ed. by Khangsar Talku [sic].|74908873 /SA/r832|New Delhi,1969-1971.|ʾBri-guṅ Chos-rje ʾJig-rten-mgon-po,1143-1217.||
tibetan.dlc.xml|001350424-X|Ṅes gsaṅ don brgyud sñiṅ poʼi bstan sruṅ yoṅs ʼdus kyi smin byed rjes gnaṅ phyogs bsdus legs bśad nor buʼi drwa ba :a collection of propitiatory and initiatory rituals for invoking the host of protective deities of the ʼBrug-pa Dkar-brgyud-pa sect /compiled [i.e. written] by Byams-me-lha-mchog Ṅag-dbaṅ-bstan-ʼdzin-blo-gros.|73900530 /SA|Darjeeling :Kargyud Sungrab Nyamso Khang,1973.|Byams-me-lha-mchog Ṅag-dbaṅ-bstan-ʼdzin-blo-gros,1843?-||
tibetan.dlc.xml|001350459-2|Gsaṅ ba ye śes kyi chos skor :extraordinary teachings from the cycle devoted to the Ḍākinī Guhyajñānā /presented according to the visions of Sle-luṅ Rje-druṅ Bźadpaʼi-rdo-rje.|75900298 /SA/r88|New Delhi :Sanje Dorje,1974-1976.|Bźad-paʼi-rdo-rje,Sle-luṅ Rje-druṅ,1697-||
tibetan.dlc.xml|001350464-9|The collected works of Ri-bo-che Rje-druṅ ʾPhrin-las-byams-paʾi-ʾbyuṅ-gnas alias Bdud-ʾjoms-nam-mkhaʾi-rdo-rje.|74900994 /SA|Dharamsala :Khetsun Sangpo,1974-|Byams-pa-ʾbyuṅ-gnas,Ri-bo-che Rje-druṅ.||
tibetan.dlc.xml|001350466-5|ʾBri-guṅ-pa texts :miscellaneous writings by eminent masters of the Drigung Kargyudpa tradition.|72902012 /SA/r84|Leh :[S. W. Tashigangpa],1972.|||
tibetan.dlc.xml|001350467-3|The collected works (gsun ʾbum) of Khri-tsho Mkhan-po Blo-gros-bzaṅ-po.|75900295 /SA/r852|New Delhi :Trayang and Jamyang Samten,1974-|Blo-gros-bzaṅ-po,Khri-tsho Mkhan-po,1924-||
tibetan.dlc.xml|001350493-2|The collected works (gsuṅ ʾbum) of Glo-bo Mkhan-chen Bsod-nams-lhun-grub.|77905505 /SA/r902|New Delhi :Ngawang Topgay,1977-|Bsod-nams-lhun-grub,Glo Mkhan-chen.||
tibetan.dlc.xml|001350494-0|The collected works (gsuṅ ʼbum) of Seṅ-chen Rdo-rje-ʼchaṅ Blo-bzaṅ-bstan-ʼdzin-dpal-ʼbyor.|77907216 /SA/r83|Delhi :Don-ʼgrub-rdo-rje,1977.|Blo-bzaṅ-bstan-ʼdzin-dpal-ʼbyor,Seṅ-chen,1784-||
tibetan.dlc.xml|001350504-1|Dbu maʾi spyi don gyi mchan ʾgrel zab don rab gsal sgron me :annotations to the pedagogical exegesis of Mādhyamika philosophy of Paṇ-chen Bsod-nams-grags-pa, the basic textbook of Blo-gsal-gliṅ College of ʾBras-spuṅs Monastery /by Blo-bzaṅ-rta-mgrin (Blo-bzaṅ-rta-dbyaṅs).|74902972 /SA|New Delhi :Tibet House,1974.|Blo-bzaṅ-rta-mgrin,1867-1937.||
tibetan.dlc.xml|001350547-5|On the history of the monastery of Zhwa-lu :begin the texts of the Zhwa lu gdan rabs and the autobiography /by Zhwa-lu-Ri-sbug Sprul-sku Blo-gsal-bstan-skyong.|74922276 /SA|Leh :S. W. Tashigangpa,1971.|Blo-gsal-bstan-skyoṅ,Źwa-lu Ri-sbug-Sprul-sku,1804-||
tibetan.dlc.xml|001350551-3|Collected works (bkaʾ ʾbum) of Byaṅ-chub-brtson-ʾgrus.|75905719 /SA/r83|[s.l. :s.n.,1975]|Byan-chub-brtson-ʾgrus,1877-1916.||
tibetan.dlc.xml|001350555-6|Byaṅ chub sems dpaʾi ltuṅ bśags daṅ rtsa ltuṅ bcu bzi bcas :Mahayana Buddhist formulae of confession and atonement.|79903330 /SA/r902|Chemre :[s.n.],1968.|||
tibetan.dlc.xml|001350580-7|Kun gzigs Rdo rje ʾchaṅ Skyabs mgon Tā yi si tu Padma dbaṅ mchog rgyal poʾi rnam thar chi tsam brjod pa ṅo mtshar nor buʾi ljon bzaṅ :a biography of the 11th Si-tu of Dpal-spuṅs Padma-dbaṅ-[mchog-]rgyal-po /by Zur-maṅ Bstan-ʾdzin Sprul-sku Blo-gros-[rgya-]mtshoʾisgra-dbyaṅs-dri-med-ʾod-kyi-snaṅ-ba and Ku-se Gser-ljoṅs Mkhan-po ʾJam-dbyaṅs-dge-legs.|77907209 /SA/r86|Gangtok :Sherab Gyaltsen Lama,1976.|Blo-gros-rgya-mtshoʾi-sgra-dbyans-dri-med-ʾod-kyi-snan-ba,Zur-maṅ Bstan-ʾdzin Sprul-sku.||
tibetan.dlc.xml|001350594-7|Byaṅ chub ltuṅ bśags (Byaṅ chub sems dpaʾi ltuṅ ba bśags paʾi mdo) :a Mahayana Buddhist formula of confession and atonement.|73904603 /SA/r90|Kelang :[s.n.],1968.|||
tibetan.dlc.xml|001350611-0|Collected gsung ʼbum of Bstan-dar Lha-ram[s] of A-lag-sha.|79923628|New Delhi :Lama Guru Deva,1971-|A-lag-śa Ṅag-dbaṅ-bstan-dar,1759-||W30184
tibetan.dlc.xml|001350631-5|The collected works (gsuṅ ʾbum) of Tre-bo Khaṅ-gsar Blo-bzaṅ-tshul-khrims-bstan-paʾi-rgyal-mtshan.|74902675|New Delhi :T.G. Dhongthog Rinpoche,1974-1975.|Blo-bzaṅ-tshul-khrims-bstan-paʾi-rgyal-mtshan,Tre-bo Khaṅ-gsar.||W20479
tibetan.dlc.xml|001350632-3|The collected works of the Sixth Panchen Lama Blo-bzaṅ-thub-bstan-chos-kyi-ñi-ma.Reproduced from a print from the Bkra-śis-lhun-po blocks by Lha-mkhar Yoṅs-ʾdzin Bstan-pa-rgyal-mtshan.|74900156 /SA/r81|New Delhi,1974.|Blo-bzaṅ-thub-bstan-chos-kyi-ni-ma,Panchen Lama VI,1883-1937.||
tibetan.dlc.xml|001350633-1|The collected works (gsung-ʾbum) of Cha-har- Dge-bshes Blo-bzang-tshul-khrims.|77926206|New Delhi :Chatring Jansar Tenzin,1971-1974.|Blo-bzaṅ-tshul-khrims,Cha-har- Dge-bśes,1740-1810.||W23151
tibetan.dlc.xml|001350644-7|Bstan bsruṅ A phyiʾi sgrub thabs beʾu bum :collected texts concerned with the rites of propitiation of the special protective deity of the ʾBri-guṅ Dkar-brgyud-pa tradition A-phyi Chos-kyi-sgrol-ma.|75903781|New Delhi :Tsering Dorma Gelek,1975.|||W30287
tibetan.dlc.xml|001350646-3|Snyan ngag Me long gi ʼgrel pa Dbyangs can ngag gi rol mtsho :a commentary on Dandin's Kavyadarsha /by the Fourth Khams-sprul Bstan-ʼdzin-chos-kyi-nyi-ma ; together with his Lha Chen Po Khyab ʼJug Gi ʼJug Pa Bcuʼi Gtam Rgya Bal Mkhas Paʼi Zhal Rgyun, a poetic rendering of the story of the ten avatars of Vishnu.|71909245|Tashijong :Sungrab Nyamso Junphel Parkhang,1969.|Bstan-ʼdzin-chos-kyi-ñi-ma,Khams-sprul IV,1730-1779.||
tibetan.dlc.xml|001350652-8|Rdzogs chen Gser gyi thur ma :a revealed cycle of Bonpo Rdzogs-chen practice /recovered from its place of concealment by Bon-źig-gʼyuṅ-druṅ-gliṅ-pa.|78900967 /SA|Dolanji, H.P. :Tshul-khrims-bkra-śis :distributor, Tibetan Bonpo M[o]nastic community,1977.|Bon-źig Gʼyuṅ-druṅ-gliṅ-pa,1228-||
tibetan.dlc.xml|001350653-6|Rtsa rgyud chen po gsaṅ ba bsen thub kyi ʾgrel pa rin po che yid bźin rnam par bkod paʾi rgyan daṅ bcas pa;commentaries on the Bonpo tantra Gsaṅ ba bśen thub and the Khro bo sku gsuṅ thugs kyi sgrub thabsby ʾA-źa Blo-gros-rgyal-mtshan and Mñam-med Śes-rab-rgyal-mtshan. Reproduced from rare MSS. preserved at the Bsam-gliṅ Monastery in Dolpo (northwestern Nepal) by Tenpa Yeshe.|73902476 /SA/r872|[Delhi];distributor: Tibetan Bonpo Monastic Centre, New Thobhyal, H.P.,1973.|Blo-gros-rgyal-mtshan,ʾA-źa,1198-1263.||
tibetan.dlc.xml|001350659-5|Padma gsaṅ thig :Rñiṅ-ma-pa teachings from the rediscoveries of Ri-bo-che Rje-druṅ Byams-pa-ʾbyuṅ-gnas.|74900027|Tezu (Arunachal Pradesh) :Tibetan Nyingmapa Monastery,1973.|Byams-pa-ʾbyuṅ-gnas,Ri-bo-che Rje-druṅ.||
tibetan.dlc.xml|001350673-0|Rgyud sde kun btus;texts explaining the significance, techniques and initiations of a collection of one hundred and thirty two mandalas of the Sa-skya-pa tradition.Edited by ʼJam-dbyangs Blo-gter-dband-po under the inspiration of his guru ʼJam-dbyangs Mkhyen-brtseʼi-dbandg-po. Reproduced photographically from the xylograph set of the Sde-dge ed. belonging to Thartse Rimpoche of Ngor.|70919390 /SA/r81|Delhi,N. Lungtok &amp; N. Gyaltsan,1971-72.|||
tibetan.dlc.xml|001350681-1|Theg pa chen po Dmar khrid dug lṅa raṅ grol gyi rgyud la Bla ma mchod paʼi las tshogs :esoteric teachings on the gurupūja from the Dmar khrid dug lṅa grol precepts /revealed by Dkar-ru Grub-dbaṅ Bstan-ʼdzin-rin-chen.|74900600 /SA|New Delhi :Sherab Oser :distributor, Tibetan Bonpo Monastic Centre, Dlonaji, H.P.,1974.|Bstan-ʼdzin-rin-chen,Dkar-ru Grub-dbaṅ,1801-||
tibetan.dlc.xml|001350687-0|Bon skyon sgrub thabs bskan gsol bcas :a collection of propitiatory rituals for the host of Bonpo protective deities.|72908432 /SA|New Thobgyal, H.P. :Distributor Tibetan Bonpo Monastic Centre,1972-|||
tibetan.dlc.xml|001350702-8|Sñan rgyud rig pa gcer mthon :Bon-po oral transmission precepts granted by Srid-pa-rgyal-mo to Bon-zig Khyun-nag.|72902575 /SA|Dolanji, H.P. :Tibetan Bonpo Monastic Centre,1972.|Bon-źig Khyuṅ-nag,1103-1183.||
